316.25,-300,15,371.25,-200,15,1005,0,15,0,0,0,0,0,0
316.25,0,15,371.25,0,15,1005.5,200,15,0,0,0,0,0,0
44,-1.089e+05,15,101.5,-1.079e+05,15,651.75,-1.415e+05,15,0,0,0,0,0,0
92.25,19300,15,90.25,-4500,15,292.75,-1.436e+05,15,0,0,0,0,0,0
87.5,-1900,15,82,-3300,15,131.25,-64600,15,0,0,0,0,0,0
98.5,4400,15,82.25,100,15,112,-7700,15,0,0,0,0,0,0
93,-2200,15,81.25,-400,15,90.75,-8500,15,0,0,0,0,0,0
93.25,100,15,82,300,15,91.5,300,15,0,0,0,0,0,0
92.5,-300,15,82,0,15,90.75,-300,15,0,0,0,0,0,0
93.75,500,15,82,0,15,91.25,200,15,0,0,0,0,0,0
92.5,-500,15,81.75,-100,15,91.25,0,15,0,0,0,0,0,0
91.75,-300,15,81.75,0,15,91.75,200,15,0,0,0,0,0,0
92.75,400,15,82.75,400,15,91,-300,15,0,0,0,0,0,0
93,100,15,82,-300,15,91,0,15,0,0,0,0,0,0
92.5,-200,15,83,400,15,91,0,15,0,0,0,0,0,0
92.5,0,15,82.25,-300,15,90.75,-100,15,0,0,0,0,0,0
93,200,15,81.5,-300,15,91.75,400,15,0,0,0,0,0,0
93.25,100,15,81.75,100,15,91.5,-100,15,0,0,0,0,0,0
92.75,-200,15,82.25,200,15,90.75,-300,15,0,0,0,0,0,0
92.25,-200,15,81,-500,15,90.5,-100,15,0,0,0,0,0,0
92.5,100,15,81.25,100,15,90.75,100,15,0,0,0,0,0,0
93,200,15,80.75,-200,15,91.25,200,15,0,0,0,0,0,0
93.5,200,15,81.5,300,15,91.25,0,15,0,0,0,0,0,0
93.5,0,15,81.25,-100,15,90.5,-300,15,0,0,0,0,0,0
92.5,-400,15,81.25,0,15,91,200,15,0,0,0,0,0,0
93.75,500,15,81,-100,15,90.75,-100,15,0,0,0,0,0,0
93,-300,15,80.75,-100,15,90.5,-100,15,0,0,0,0,0,0
92,-400,15,80.75,0,15,91.25,300,15,0,0,0,0,0,0
93,400,15,81.25,200,15,91.5,100,15,0,0,0,0,0,0
92.75,-100,15,81,-100,15,91.25,-100,15,0,0,0,0,0,0
92.25,-200,15,80.75,-100,15,91.75,200,15,0,0,0,0,0,0
92.25,0,15,81.25,200,15,90.75,-400,15,0,0,0,0,0,0
92.75,200,15,81,-100,15,91.5,300,15,0,0,0,0,0,0
93,100,15,81.25,100,15,91.5,0,15,0,0,0,0,0,0
93,0,15,81,-100,15,91.5,0,15,0,0,0,0,0,0
92.75,-100,15,81.5,200,15,91.25,-100,15,0,0,0,0,0,0
93.25,200,15,82,200,15,90.5,-300,15,0,0,0,0,0,0
93.25,0,15,80.5,-600,15,91,200,15,0,0,0,0,0,0
91.5,-700,15,81,200,15,91.25,100,15,0,0,0,0,0,0
91.5,0,15,81.25,100,15,91.25,0,15,0,0,0,0,0,0
