0.9994 -0.0058143 1.0342 1.0183 -0.0059243 0.034351
0.99935 -0.0054507 1.0356 1.0197 -0.0055617 0.035834
0.99935 -0.0090846 1.0349 1.076 -0.0097813 0.037841
0.99933 -0.008721 1.0356 1.0785 -0.009412 0.038766
0.99935 -0.010175 1.0345 1.0767 -0.010963 0.037534
0.99936 -0.0090847 1.0345 1.0778 -0.0097979 0.037619
0.99937 -0.0087213 1.0345 1.0756 -0.009387 0.03745
0.99933 -0.0098112 1.0353 1.0778 -0.010581 0.038346
0.99931 -0.0061772 1.0367 1.0778 -0.0066621 0.039799
0.9993 -0.0087208 1.0364 1.0781 -0.0094086 0.039464
0.99925 -0.0087203 1.0378 1.0792 -0.0094176 0.041004
0.99932 -0.0054505 1.0364 1.0781 -0.0058804 0.039464
0.99795 0.024317 1.0592 1.2338 0.030064 0.087461
0.99826 0.011979 1.0578 1.2363 0.014835 0.086526
0.99825 0.012342 1.0578 1.2373 0.015298 0.086786
0.99818 0.010889 1.0592 1.2387 0.013512 0.088587
0.99805 0.013065 1.061 1.2392 0.016223 0.090577
0.99805 0.012702 1.061 1.2403 0.015785 0.090841
0.99797 0.011975 1.0625 1.2413 0.014895 0.092557
0.99781 0.012336 1.065 1.2443 0.015384 0.095899
0.99765 0.011609 1.0676 1.247 0.01451 0.09916
0.99751 0.012333 1.0694 1.2521 0.01548 0.10235
0.99744 0.011969 1.0705 1.2538 0.015045 0.1039
0.9973 0.013055 1.0723 1.2589 0.01648 0.10713
0.99719 0.013417 1.0737 1.2612 0.016969 0.10925
0.99706 0.01269 1.0756 1.2657 0.016108 0.11232
0.99699 0.011601 1.0766 1.266 0.014731 0.1135
0.99692 0.012688 1.0774 1.2683 0.016142 0.11492
0.99671 0.011235 1.0803 1.2758 0.014382 0.12002
0.99648 0.010508 1.0832 1.2777 0.013473 0.12353
0.99625 0.011955 1.0857 1.2858 0.015429 0.12856
0.99614 0.010867 1.0872 1.2861 0.014029 0.13011
0.99581 0.010863 1.0908 1.2906 0.014079 0.13522
0.99544 0.010859 1.0948 1.2968 0.014147 0.14126
0.99544 0.011221 1.0948 1.2944 0.014591 0.1405
0.99516 0.010856 1.0977 1.3073 0.014261 0.14762
0.99476 0.010852 1.1016 1.3107 0.014298 0.15285
0.99439 0.010486 1.1053 1.3137 0.013854 0.15762
0.99417 0.0097605 1.1074 1.3149 0.012909 0.16026
0.99397 0.0097586 1.1092 1.3175 0.012935 0.163
0.99345 0.0086697 1.1139 1.3262 0.011574 0.17092
0.99294 0.0090263 1.1183 1.3291 0.012082 0.17647
0.99246 0.009022 1.1222 1.3352 0.012137 0.18279
0.99192 0.0086564 1.1266 1.3401 0.011695 0.18913
0.99119 0.006127 1.1323 1.3465 0.0083233 0.19758
0.99039 0.0072025 1.1381 1.3559 0.0098603 0.20728
0.98932 0.0050362 1.1457 1.3616 0.0069312 0.21752
0.98895 0.0053939 1.1482 1.3666 0.0074536 0.22222
0.98796 0.0046701 1.1546 1.372 0.0064853 0.23132
0.98628 0.0043035 1.165 1.3817 0.0060288 0.24654
0.9853 0.0039409 1.1708 1.3897 0.0055585 0.25621
0.9839 0.0039354 1.1787 1.3966 0.0055861 0.2678
0.98085 0.0039231 1.1947 1.4071 0.005628 0.29012
0.97969 0.0053434 1.2004 1.4174 0.0077308 0.30132
0.97746 0.0028433 1.2111 1.4243 0.0041431 0.3165
0.97534 0.0028372 1.2207 1.4322 0.0041662 0.33118
0.97253 0.0031826 1.2327 1.4404 0.0047137 0.34894
0.9686 0.001761 1.2486 1.4499 0.002636 0.37207
0.96469 0.0024554 1.2634 1.4593 0.0037144 0.39428
0.95984 0.001745 1.2805 1.4696 0.0026718 0.42019
0.95491 0.00069443 1.2969 1.4786 0.0010753 0.44501
0.94878 0.001035 1.3159 1.4895 0.0016247 0.47469
0.94081 0.0017104 1.3389 1.5012 0.0027293 0.51072
0.93095 0.0003385 1.3651 1.5137 0.00055041 0.55251
0.92065 -0.0010043 1.3904 1.5245 -0.001663 0.5933
0.90875 -0.0016522 1.4173 1.5344 -0.0027896 0.63723
0.89396 -0.00065011 1.4481 1.5227 -0.0011073 0.67055
0.87443 -0.0044514 1.4851 1.5192 -0.0077334 0.72072
0.84956 -0.0067961 1.5275 1.531 -0.012247 0.7956
0.82859 -0.0084362 1.5598 1.5113 -0.015388 0.82919
0.79375 -0.0086588 1.6082 1.5 -0.016364 0.90031
0.74842 -0.0089808 1.6632 1.4765 -0.017717 0.97772
0.70347 -0.0061391 1.7107 1.4579 -0.012723 1.0544
0.64777 -0.0044753 1.7618 1.4154 -0.0097788 1.121
0.58099 -0.0023238 1.8139 1.3794 -0.0055173 1.2118
0.46045 -0.0031811 1.8877 1.3065 -0.0090265 1.3547
0.35054 -0.0025492 1.9365 1.2225 -0.0088903 1.447
0.22955 -0.00083468 1.9733 1.1089 -0.004032 1.4971
0.065403 0.00014269 1.9979 0.96082 0.0020962 1.5526
-0.085705 -0.00052978 1.9963 0.82409 0.0050941 1.5813
-0.084619 -0.00039999 1.9964 0.82412 0.0038956 1.5791
-0.085343 -0.00049651 1.9964 0.82354 0.0047912 1.5793
-0.084981 -0.0004017 1.9964 0.82406 0.0038953 1.5797
-0.038532 -0.00022418 1.9993 0.87411 0.0050854 1.5905
-0.038533 -0.00021016 1.9993 0.87126 0.0047521 1.5842
-0.039623 -0.0002017 1.9992 0.86248 0.0043905 1.5677
-0.039623 -0.0002017 1.9992 0.8574 0.0043647 1.5573
-0.039259 -0.00018558 1.9992 0.8568 0.0040501 1.5553
