0.22665 -6.6946 0
0.23133 -6.6854 0
0.229 -6.6884 0
0.22679 -6.6906 0
0.22898 -6.6893 0
0.2264 -6.6964 0
0.22758 -6.6912 0
0.2339 -6.69 0
0.23701 -6.6898 0
0.23445 -6.6878 0
0.22884 -6.6861 0
0.23058 -6.6861 0
0.23418 -6.6879 0
0.23219 -6.6889 0
0.23603 -6.6899 0
0.23883 -6.6893 0
0.22931 -6.69 0
0.23258 -6.6908 0
0.22943 -6.6919 0
0.23412 -6.6921 0
0.17348 -6.726 0
1.6507 -5.9106 0
3.4265 -4.9153 0
3.7526 -4.467 0
4.9704 -2.417 0
4.4982 -0.86125 0
4.266 0.33298 0
3.7632 2.5123 0
4.4248 3.6995 0
6.3499 5.6062 0
5.0651 7.3592 0
4.2243 8.1938 0
4.6378 9.1968 0
4.647 9.2166 0
4.6422 9.2118 0
4.643 9.2157 0
4.6449 9.2124 0
4.6433 9.2148 0
4.6397 9.2155 0
4.6432 9.2109 0
4.6392 9.214 0
4.643 9.2127 0
4.6464 9.2114 0
4.6447 9.2123 0
4.6458 9.2369 0
5.0385 7.8227 0
5.229 6.6958 0
5.2328 6.308 0
5.2156 4.2979 0
4.9899 4.0821 0
4.3748 2.4938 0
