0.36311 -0.0010563 1.9317 0.69658 -0.0020263 2.8745
0.36413 -0.00079441 1.9313 0.69931 -0.0015257 2.8735
0.36345 -0.0010572 1.9316 0.7 -0.0020362 2.8733
0.36345 -0.00066078 1.9316 0.69966 -0.001272 2.8734
0.36379 -0.00039684 1.9315 0.69863 -0.00076208 2.8738
0.36413 -0.00079441 1.9313 0.70034 -0.0015279 2.8731
0.36345 -0.00079293 1.9316 0.69863 -0.0015242 2.8738
0.36244 -0.00079072 1.932 0.69693 -0.0015205 2.8744
0.36244 -0.00065893 1.932 0.69693 -0.0012671 2.8744
0.36379 -0.00066139 1.9315 0.69965 -0.001272 2.8734
0.36481 -0.00079589 1.9311 0.70135 -0.0015301 2.8727
0.36345 -0.00039647 1.9316 0.69966 -0.00076321 2.8734
0.36345 -0.00079293 1.9316 0.69829 -0.0015234 2.8739
0.36345 -0.0010572 1.9316 0.69829 -0.0020312 2.8739
0.36311 -0.0013203 1.9317 0.69829 -0.0025391 2.8739
0.36413 -0.00066201 1.9313 0.70034 -0.0012732 2.8731
0.36345 -0.00066078 1.9316 0.69795 -0.0012689 2.874
0.36311 -0.00079219 1.9317 0.69726 -0.0015212 2.8743
0.36278 -0.00013191 1.9319 0.69624 -0.00025316 2.8746
0.36413 -0.00039721 1.9313 0.69965 -0.0007632 2.8734
0.36379 -0.00039684 1.9315 0.69966 -0.00076321 2.8734
0.36413 -0.00079441 1.9313 0.70068 -0.0015286 2.873
0.36312 -0.00013203 1.9317 0.69795 -0.00025378 2.874
0.36413 -0.0014564 1.9313 0.69965 -0.0027984 2.8734
0.36278 -0.00092336 1.9319 0.69727 -0.0017747 2.8743
0.36379 -0.00092595 1.9315 0.69897 -0.0017791 2.8736
0.36312 -0.00052813 1.9317 0.69761 -0.0010146 2.8741
0.36379 -0.00026456 1.9315 0.69966 -0.0005088 2.8734
0.36379 -0.00026456 1.9315 0.69931 -0.00050855 2.8735
0.36311 -0.00079219 1.9317 0.69863 -0.0015242 2.8738
0.36345 -0.00066078 1.9316 0.69932 -0.0012714 2.8735
0.36379 -0.00039684 1.9315 0.69966 -0.00076321 2.8734
0.36312 -0.0003961 1.9317 0.69795 -0.00076135 2.874
0.36311 -0.00092423 1.9317 0.69795 -0.0017765 2.874
0.36379 -0.00092595 1.9315 0.69965 -0.0017808 2.8734
0.36345 -0.00066078 1.9316 0.69932 -0.0012714 2.8735
0.36379 -0.00066139 1.9315 0.70068 -0.0012739 2.873
0.36345 -0.00066078 1.9316 0.69795 -0.0012689 2.874
0.36345 -0.00079293 1.9316 0.69863 -0.0015242 2.8738
0.36447 -0.00039758 1.9312 0.69999 -0.00076357 2.8732
